date,title,url,publisher,tickers,keywords_matched,catalyst_type,keyword_score,ticker_score,publisher_score,recency_score,composite_score
2025-12-17,"Nike's 'Win Now' Strategy Shows Early Wins, But Q2 Earnings Expected To Slip",https://www.benzinga.com/markets/earnings/25/12/49441095/nikes-win-now-strategy-shows-early-wins-but-q2-earnings-expected-to-slip,Rishabh Mishra,,"earnings, rate",Mixed,2,0,0,0,6
2025-12-17,Accenture Stock Is Down 22% This Year Heading Into Earnings—Can AI Growth And New Guidance Calm Investor Fears?,https://www.benzinga.com/markets/equities/25/12/49442911/accenture-stock-is-down-22-this-year-heading-into-earnings-can-ai-growth-and-new-guidance-calm-investor-fears,Eva Mathew,,"earnings, guidance",Earnings,2,0,0,0,6
2025-12-17,"Elizabeth Warren Wants Crypto Investigation, But Coinbase Execs Meet Tim Scott To Negotiate Market Structure Bill",https://www.benzinga.com/crypto/cryptocurrency/25/12/49459189/elizabeth-warren-wants-crypto-investigation-but-coinbase-execs-meet-tim-scott-to-negotiate-market-structure-bill,Parshwa Turakhiya,,"investigation, war",Mixed,2,0,0,0,6
2025-12-17,Alphabet's $100 Billion War Chest Vs. Oracle's Debt Spiral: The AI Arms Race Hits Wall Street,https://www.benzinga.com/markets/tech/25/12/49461104/ai-spending-boom-big-tech-alphabet-microsoft-meta-oracle,Stjepan Kalinic,,war,Macro,1,0,0,0,3
2025-12-17,Price Over Earnings Overview: JPMorgan Chase,https://www.benzinga.com/insights/news/25/12/49463486/price-over-earnings-overview-jpmorgan-chase,Benzinga Insights,,earnings,Earnings,1,0,0,0,3
2025-12-17,Apple To Rally Around 15%? Here Are 10 Top Analyst Forecasts For Wednesday,https://www.benzinga.com/news/25/12/49448213/apple-to-rally-around-15-here-are-10-top-analyst-forecasts-for-wednesday,Avi Kapoor,,forecast,Earnings,1,0,0,0,3
2025-12-17,Jefferies Sees $198 Billion Revenue Potential By 2040 For Quantum Computing,https://www.benzinga.com/markets/tech/25/12/49446719/jefferies-sees-198-billion-revenue-potential-by-2040-for-quantum-computing,Namrata Sen,,revenue,Earnings,1,0,0,0,3
2025-12-17,This Procter & Gamble Analyst Turns Bullish; Here Are Top 5 Upgrades For Wednesday,https://www.benzinga.com/analyst-stock-ratings/upgrades/25/12/49446899/this-procter-here-are-top-5-upgrades-for-wednesday,Avi Kapoor,,,General,0,0,0,0,0
2025-12-17,"Goldman Sachs, Capital One Financial And A Consumer Defensive Stock: CNBC's 'Final Trades'",https://www.benzinga.com/analyst-stock-ratings/analyst-color/25/12/49446772/goldman-sachs-capital-one-financial-consumer-defensive-stock-cnbc-final-trades,Avi Kapoor,,,General,0,0,0,0,0
2025-12-17,Sam Altman's OpenAI In Talks To Raise $10 Billion From Amazon And Use Its AI Chips: Report,https://www.benzinga.com/markets/tech/25/12/49440610/sam-altmans-openai-in-talks-to-raise-10-billion-from-amazon-and-use-its-ai-chips-report,Eva Mathew,,,General,0,0,0,0,0
