date,title,url,publisher,tickers,keywords_matched,catalyst_type,keyword_score,ticker_score,publisher_score,recency_score,composite_score
2025-12-17,"Nike's 'Win Now' Strategy Shows Early Wins, But Q2 Earnings Expected To Slip",https://www.benzinga.com/markets/earnings/25/12/49441095/nikes-win-now-strategy-shows-early-wins-but-q2-earnings-expected-to-slip,Rishabh Mishra,,"earnings, rate",Mixed,2,0,0,0,6
2025-12-17,Akamai And Visa Collaborate To Integrate Visa Trusted Agent Protocol With Akamai Cloud To Authenticate Ai Shopping Agents And Help Prevent Fraud In Agentic Commerce,https://www.benzinga.com/news/25/12/49444022/akamai-and-visa-collaborate-to-integrate-visa-trusted-agent-protocol-with-akamai-cloud-to-authentica,Benzinga Newsdesk,,"ppi, rate",Macro,2,0,0,0,6
2025-12-17,Accenture Stock Is Down 22% This Year Heading Into Earnings—Can AI Growth And New Guidance Calm Investor Fears?,https://www.benzinga.com/markets/equities/25/12/49442911/accenture-stock-is-down-22-this-year-heading-into-earnings-can-ai-growth-and-new-guidance-calm-investor-fears,Eva Mathew,,"earnings, guidance",Earnings,2,0,0,0,6
2025-12-17,"Merck's Topline Results From Phase 3 KEYNOTE-b15 Trial Showed Keytruda (Pembrolizumab) Plus Padcev, As Before And After Surgery, Demonstrated Meaningful Improvement In Event-free Survival, Overall Survival, And Pathologic Complete Response Rates Versus Neoadjuvant Chemotherapy And Surgery In Patients With Muscle-invasive Bladder Cancer",https://www.benzinga.com/general/biotech/25/12/49443637/mercks-topline-results-from-phase-3-keynote-b15-trial-showed-keytruda-pembrolizumab-plus-padcev-a,Benzinga Newsdesk,,"results, rate",Mixed,2,0,0,0,6
2025-12-17,"AOC Slams Trump ICE Policies, Calls Out $170 Billion Misuse By Oligarchs To Fund Secret Police: 'Our Country Has Defeated Fascism Before..'",https://www.benzinga.com/news/politics/25/12/49440320/aoc-slams-trump-ice-policies-calls-out-170-billion-misuse-by-oligarchs-to-fund-secret-police-our-country-has-defeated-fascism-before,Snigdha Gairola,,sec,Corporate Event,1,0,0,0,3
2025-12-17,Jefferies Sees $198 Billion Revenue Potential By 2040 For Quantum Computing,https://www.benzinga.com/markets/tech/25/12/49446719/jefferies-sees-198-billion-revenue-potential-by-2040-for-quantum-computing,Namrata Sen,,revenue,Earnings,1,0,0,0,3
2025-12-17,"Bernie Sanders Calls For Halt On AI Data Center Construction, Alleges 'Very Very Rich Men' Like Musk, Bezos, Zuckerberg Want More Power And Wealth",https://www.benzinga.com/markets/tech/25/12/49439782/bernie-sanders-calls-for-halt-on-ai-data-center-construction-alleges-very-very-rich-men-like-musk-bezos-zuckerberg-want-more-power-and-wealth,Ananya Gairola,,,General,0,0,0,0,0
2025-12-17,Sam Altman's OpenAI In Talks To Raise $10 Billion From Amazon And Use Its AI Chips: Report,https://www.benzinga.com/markets/tech/25/12/49440610/sam-altmans-openai-in-talks-to-raise-10-billion-from-amazon-and-use-its-ai-chips-report,Eva Mathew,,,General,0,0,0,0,0
2025-12-17,Mosaic Stock Edges Down After Hours — Here's Why,https://www.benzinga.com/markets/equities/25/12/49441079/mosaic-stock-edges-down-after-hours-heres-why,Mohd Haider,,,General,0,0,0,0,0
2025-12-17,Chevron Spokesperson Says Venezuela Operations Continue Without Disruption After Trump Orders Blockade,https://www.benzinga.com/news/25/12/49441366/chevron-spokesperson-says-venezuela-operations-continue-without-disruption-after-trump-orders-blocka,Benzinga Newsdesk,,,General,0,0,0,0,0
