date,title,url,publisher,tickers,keywords_matched,catalyst_type,keyword_score,ticker_score,publisher_score,recency_score,composite_score
2025-12-17,Accenture Stock Is Down 22% This Year Heading Into Earnings—Can AI Growth And New Guidance Calm Investor Fears?,https://www.benzinga.com/markets/equities/25/12/49442911/accenture-stock-is-down-22-this-year-heading-into-earnings-can-ai-growth-and-new-guidance-calm-investor-fears,Eva Mathew,,"earnings, guidance",Earnings,2,0,0,0,6
2025-12-17,"Merck's Topline Results From Phase 3 KEYNOTE-b15 Trial Showed Keytruda (Pembrolizumab) Plus Padcev, As Before And After Surgery, Demonstrated Meaningful Improvement In Event-free Survival, Overall Survival, And Pathologic Complete Response Rates Versus Neoadjuvant Chemotherapy And Surgery In Patients With Muscle-invasive Bladder Cancer",https://www.benzinga.com/general/biotech/25/12/49443637/mercks-topline-results-from-phase-3-keynote-b15-trial-showed-keytruda-pembrolizumab-plus-padcev-a,Benzinga Newsdesk,,"results, rate",Mixed,2,0,0,0,6
2025-12-17,Akamai And Visa Collaborate To Integrate Visa Trusted Agent Protocol With Akamai Cloud To Authenticate Ai Shopping Agents And Help Prevent Fraud In Agentic Commerce,https://www.benzinga.com/news/25/12/49444022/akamai-and-visa-collaborate-to-integrate-visa-trusted-agent-protocol-with-akamai-cloud-to-authentica,Benzinga Newsdesk,,"ppi, rate",Macro,2,0,0,0,6
2025-12-17,Jefferies Sees $198 Billion Revenue Potential By 2040 For Quantum Computing,https://www.benzinga.com/markets/tech/25/12/49446719/jefferies-sees-198-billion-revenue-potential-by-2040-for-quantum-computing,Namrata Sen,,revenue,Earnings,1,0,0,0,3
2025-12-17,"AOC Slams Trump ICE Policies, Calls Out $170 Billion Misuse By Oligarchs To Fund Secret Police: 'Our Country Has Defeated Fascism Before..'",https://www.benzinga.com/news/politics/25/12/49440320/aoc-slams-trump-ice-policies-calls-out-170-billion-misuse-by-oligarchs-to-fund-secret-police-our-country-has-defeated-fascism-before,Snigdha Gairola,,sec,Corporate Event,1,0,0,0,3
2025-12-17,"Bernie Sanders Calls For Halt On AI Data Center Construction, Alleges 'Very Very Rich Men' Like Musk, Bezos, Zuckerberg Want More Power And Wealth",https://www.benzinga.com/markets/tech/25/12/49439782/bernie-sanders-calls-for-halt-on-ai-data-center-construction-alleges-very-very-rich-men-like-musk-bezos-zuckerberg-want-more-power-and-wealth,Ananya Gairola,,,General,0,0,0,0,0
2025-12-17,Sam Altman's OpenAI In Talks To Raise $10 Billion From Amazon And Use Its AI Chips: Report,https://www.benzinga.com/markets/tech/25/12/49440610/sam-altmans-openai-in-talks-to-raise-10-billion-from-amazon-and-use-its-ai-chips-report,Eva Mathew,,,General,0,0,0,0,0
2025-12-17,Mosaic Stock Edges Down After Hours — Here's Why,https://www.benzinga.com/markets/equities/25/12/49441079/mosaic-stock-edges-down-after-hours-heres-why,Mohd Haider,,,General,0,0,0,0,0
2025-12-17,Amazon Could Invest $10B In OpenAI As Talks Focus On Funding And Use Of AI Chips,https://www.benzinga.com/news/25/12/49441122/amazon-could-invest-10b-in-openai-as-talks-focus-on-funding-and-use-of-ai-chips,Benzinga Newsdesk,,,General,0,0,0,0,0
2025-12-17,"Trump Administration Plans Executive Order To Limit Defense Contractors Dividends, Buybacks And Executive Pay For Over-Budget And Delayed Contracts",https://www.benzinga.com/news/25/12/49441497/trump-administration-plans-executive-order-to-limit-defense-contractors-dividends-buybacks-and-execu,Benzinga Newsdesk,,,General,0,0,0,0,0
2025-12-17,Chevron Spokesperson Says Venezuela Operations Continue Without Disruption After Trump Orders Blockade,https://www.benzinga.com/news/25/12/49441366/chevron-spokesperson-says-venezuela-operations-continue-without-disruption-after-trump-orders-blocka,Benzinga Newsdesk,,,General,0,0,0,0,0
2025-12-17,'Apple Explores Chip Assembly Talks With Indian Manufacturers' - The Economic Times,https://www.benzinga.com/news/25/12/49441287/apple-explores-chip-assembly-talks-with-indian-manufacturers-the-economic-times,Benzinga Newsdesk,,,General,0,0,0,0,0
2025-12-17,Apple's First Foldable iPhone Leak Reveals Major Design Trade-Offs: Here's What You Need To Know,https://www.benzinga.com/markets/tech/25/12/49441130/apples-first-foldable-iphone-leak-reveals-major-design-trade-offs-heres-what-you-need-to-know,Ananya Gairola,,,General,0,0,0,0,0
2025-12-17,"Meta AI Glasses Learn To Focus, Listen, And DJ Your Life",https://www.benzinga.com/markets/tech/25/12/49442430/meta-ai-glasses-learn-to-focus-listen-and-dj-your-life,Anusuya Lahiri,,,General,0,0,0,0,0
2025-12-17,Japan's Rapidus Moves To Break Taiwan Semiconductor's Grip With Cheaper AI Chips,https://www.benzinga.com/markets/tech/25/12/49442074/japans-rapidus-moves-to-break-taiwan-semiconductors-grip-with-cheaper-ai-chips,Anusuya Lahiri,,,General,0,0,0,0,0
2025-12-17,"BTIG Initiates Coverage On Salesforce with Buy Rating, Announces Price Target of $335",https://www.benzinga.com/news/25/12/49443024/btig-initiates-coverage-on-salesforce-with-buy-rating-announces-price-target-of-335,Benzinga Newsdesk,,,General,0,0,0,0,0
2025-12-17,US Air Force To Purchase Two Additional Boeing 747-8 Aircraft For $400M For Training And Spares For Next Air Force One,https://www.benzinga.com/news/25/12/49441549/us-air-force-to-purchase-two-additional-boeing-747-8-aircraft-for-400m-for-training-and-spares-for-n,Benzinga Newsdesk,,,General,0,0,0,0,0
2025-12-17,"Morgan Stanley Maintains Overweight on Apple, Raises Price Target to $315",https://www.benzinga.com/news/25/12/49444072/morgan-stanley-maintains-overweight-on-apple-raises-price-target-to-315,Benzinga Newsdesk,,,General,0,0,0,0,0
2025-12-17,Apple Could Soon Package iPhone Chips In India,https://www.benzinga.com/markets/tech/25/12/49444626/apple-could-soon-package-iphone-chips-in-india,Anusuya Lahiri,,,General,0,0,0,0,0
2025-12-17,"Akamai, Visa Join Forces To Tame Rogue AI Shoppers",https://www.benzinga.com/markets/tech/25/12/49445439/akamai-visa-join-forces-to-tame-rogue-ai-shoppers,Lekha Gupta,,,General,0,0,0,0,0
2025-12-17,"Jefferies Upgrades Procter & Gamble to Buy, Raises Price Target to $179",https://www.benzinga.com/news/25/12/49446424/jefferies-upgrades-procter-gamble-to-buy-raises-price-target-to-179,Benzinga Newsdesk,,,General,0,0,0,0,0
2025-12-17,"Goldman Sachs, Capital One Financial And A Consumer Defensive Stock: CNBC's 'Final Trades'",https://www.benzinga.com/analyst-stock-ratings/analyst-color/25/12/49446772/goldman-sachs-capital-one-financial-consumer-defensive-stock-cnbc-final-trades,Avi Kapoor,,,General,0,0,0,0,0
2025-12-17,Hut 8 Stock Soars On Mega Data Center Lease With Fluidstack,https://www.benzinga.com/trading-ideas/movers/25/12/49446861/hut-8-stock-soars-on-mega-data-center-lease-with-fluidstack,Akanksha Bakshi,,,General,0,0,0,0,0
2025-12-17,This Procter & Gamble Analyst Turns Bullish; Here Are Top 5 Upgrades For Wednesday,https://www.benzinga.com/analyst-stock-ratings/upgrades/25/12/49446899/this-procter-here-are-top-5-upgrades-for-wednesday,Avi Kapoor,,,General,0,0,0,0,0
2025-12-17,This Salesforce Analyst Begins Coverage On A Bullish Note; Here Are Top 5 Initiations For Wednesday,https://www.benzinga.com/analyst-stock-ratings/initiation/25/12/49447268/this-salesforce-analyst-begins-coverage-on-a-bullish-note-here-are-top-5-initiations-for-wednesday,Avi Kapoor,,,General,0,0,0,0,0
2025-12-18,Nike Earnings Are Imminent; These Most Accurate Analysts Revise Forecasts Ahead Of Earnings Call,https://www.benzinga.com/analyst-stock-ratings/price-target/25/12/49481440/nike-earnings-are-imminent-these-most-accurate-analysts-revise-forecasts-ahead-of-earnings-call-2,Avi Kapoor,,"forecast, earnings, rate",Mixed,3,0,0,0,9
2025-12-18,Johnson & Johnson Receives FDA Approval For TRUFILL n‑BCA Liquid Embolic System In Symptomatic Chronic Subdural Hematoma,https://www.benzinga.com/news/25/12/49475767/johnson-johnson-receives-fda-approval-for-trufill-n-bca-liquid-embolic-system-in-symptomatic-chronic,Benzinga Newsdesk,,"approval, fda",Corporate Event,2,0,0,0,6
