date,title,url,publisher,tickers,keywords_matched,catalyst_type,keyword_score,ticker_score,publisher_score,recency_score,composite_score
2026-03-18,"Mark Cuban Dismisses Gen Z Unemployment Fears As 'Wrong,' Countering Bill Gates' Warning That Even AI Skills May Not Guarantee Stability",https://www.benzinga.com/markets/tech/26/03/51316807/mark-cuban-dismisses-gen-z-unemployment-fears-as-wrong-countering-bill-gates-warning-that-even-ai-skills-may-not-guarantee-stability,Rishabh Mishra,,"unemployment, war, miss",Mixed,3,0,0,0,9
2026-03-18,"Protagonist Therapeutics Announces FDA Approval For ICOTYDE, IL-23 Receptor Antagonist For Treatment Of Moderate-To-Severe Plaque Psoriasis; Treatment Commercialized Under License By Johnson & Johnson",https://www.benzinga.com/news/26/03/51321525/protagonist-therapeutics-announces-fda-approval-for-icotyde-il-23-receptor-antagonist-for-treatment,Benzinga Newsdesk,,"fda, rate, approval",Mixed,3,0,0,0,9
2026-03-18,"Johnson & Johnson Says FDA Approves ICOTYDE, IL-23 Receptor Antagonist For Treatment Of Moderate-To-Severe Plaque Psoriasis",https://www.benzinga.com/news/26/03/51320701/johnson-johnson-says-fda-approves-icotyde-il-23-receptor-antagonist-for-treatment-of-moderate-to-sev,Benzinga Newsdesk,,"fda, rate",Mixed,2,0,0,0,6
2026-03-18,Merck's MSD Animal Health Announces FDA Approval Of Expanded Label For BRAVECTO QUANTUM In Dogs,https://www.benzinga.com/news/26/03/51340567/mercks-msd-animal-health-announces-fda-approval-of-expanded-label-for-bravecto-quantum-in-dogs,Benzinga Newsdesk,,"fda, approval",Corporate Event,2,0,0,0,6
2026-03-18,"'Why Walmart And OpenAI Are Shaking Up Their Agentic Shopping Deal; After OpenAI's Instant Checkout Feature Fell Short, Walmart Is Instead Embedding Its Sparky Chatbot Directly Into ChatGPT And Google Gemini' - Wired",https://www.benzinga.com/news/26/03/51335711/why-walmart-and-openai-are-shaking-up-their-agentic-shopping-deal-after-openais-instant-checkout-fea,Benzinga Newsdesk,,"ppi, deal",Mixed,2,0,0,0,6
2026-03-18,Caterpillar's Secret Weapon: Data Centers Could Fuel A New Rally,https://www.benzinga.com/analyst-stock-ratings/analyst-color/26/03/51332705/caterpillars-secret-weapon-data-centers-could-fuel-a-new-rally,Akanksha Bakshi,,sec,Corporate Event,1,0,0,0,3
2026-03-18,IBM Fellow Charles H. Bennett And Gilles Brassard Win 2025 ACM A.M. Turing Award For Pioneering Quantum Information Science And BB84 Quantum Cryptography Protocol,https://www.benzinga.com/news/26/03/51318430/ibm-fellow-charles-h-bennett-and-gilles-brassard-win-2025-acm-a-m-turing-award-for-pioneering-quantu,Benzinga Newsdesk,,war,Macro,1,0,0,0,3
2026-03-18,'Microsoft Weighs Legal Action Over $50bn Amazon-OpenAI Cloud Deal' - FT,https://www.benzinga.com/news/26/03/51317551/microsoft-weighs-legal-action-over-50bn-amazon-openai-cloud-deal-ft,Benzinga Newsdesk,,deal,Corporate Event,1,0,0,0,3
2026-03-18,Disney's CEO Josh D'amaro Says We Will Embrace Technology To Unlock New Possibilities,https://www.benzinga.com/news/26/03/51330337/disneys-ceo-josh-damaro-says-we-will-embrace-technology-to-unlock-new-possibilities,Benzinga Newsdesk,,ceo,Corporate Event,1,0,0,0,3
2026-03-18,What's Going On With Intel Stock Wednesday?,https://www.benzinga.com/trading-ideas/movers/26/03/51322694/whats-going-on-with-intel-stock-wednesday-5,Kaustubh Bagalkote,,,General,0,0,0,0,0
2026-03-18,Fold Holdings (FLD) Surges Over 12% After Hours— Here's What's Driving the Move,https://www.benzinga.com/markets/equities/26/03/51317298/fold-holdings-fld-surges-over-12-after-hours-heres-whats-driving-the-move,Mohd Haider,,,General,0,0,0,0,0
2026-03-18,S&P 500 Braces For Triple Witching As Financials Signal Deeper Correction: Index Closed Up 'Only 25% Of The Time' In Last 5-Years,https://www.benzinga.com/etfs/broad-u-s-equity-etfs/26/03/51320368/sp-500-braces-for-triple-witching-as-financials-signal-deeper-correction-index-closed-up-only-25-of-the-time-in-last-5-years,Rishabh Mishra,,,General,0,0,0,0,0
