date,published_utc,composite_score,catalyst_type,keyword_score,ticker_score,publisher_score,recency_score,title,tickers,ticker_count,keywords_matched,publisher,url,description
2025-01-06,2025-01-06T06:50:00Z,32,Mixed,4,10,0,0,Could the S&P 500 Target 7000+ in 2025?,"AMJB, JPM, JPMpC, JPMpD, JPMpJ, JPMpK, JPMpL, JPMpM, UBS, GS, GSpA, GSpC, GSpD, BAC, BACpB, BACpE, BACpK, BACpL, BACpM, BACpN, BACpO, BACpP, BACpQ, BACpS, BMLpG, BMLpH, BMLpJ, BMLpL, MERpK, MS, MSpA, MSpE, MSpF, MSpI, MSpK, MSpL, MSpO, MSpP, MSpQ, BERZ, BMO, BULZ, CARD, CARU, DULL, FLYD, FLYU, FNGD, FNGO, FNGS, FNGU, GDXD, GDXU, JETD, JETU, OILD, OILU, SHNY, WTID, WTIU, DB, DGP, DGZ, DZZ, RY, BCS, WFC, WFCpA, WFCpC, WFCpD, WFCpL, WFCpY, WFCpZ",73,"outlook, rate, war, forecast",Investing.com,https://www.investing.com/analysis/could-the-sp-500-target-7000-in-2025-200655876,"The article discusses the possibility of the S&P 500 reaching 7000+ by 2025, with many Wall Street analysts forecasting such a bullish outlook. However, the author cautions that these analysts have historically been inaccurate in their predictions, and that investors should be wary of such widespread optimism."
2025-01-06,2025-01-06T09:05:00Z,30,Mixed,3,10,0,1,Nearly 66% of Warren Buffett's Portfolio Is Invested in These 5 Stocks as 2025 Begins,"AAPL, AXP, BAC, BACpB, BACpE, BACpK, BACpL, BACpM, BACpN, BACpO, BACpP, BACpQ, BACpS, BMLpG, BMLpH, BMLpJ, BMLpL, MERpK, KO, CVX",20,"outlook, rate, war",The Motley Fool,https://www.fool.com/investing/2025/01/06/warren-buffett-portfolio-invested-stocks-2025/?source=iedfolrf0000001,"Warren Buffett's Berkshire Hathaway portfolio is heavily concentrated in 5 stocks - Apple, American Express, Bank of America, Coca-Cola, and Chevron - which make up nearly 66% of his holdings as 2025 begins. The article analyzes the performance and outlook for these top positions."
2025-01-06,2025-01-06T20:33:00Z,23,Earnings,1,10,0,0,Investors Look Back at 2024,"PLTR, VST, NVDA, UAL, AXON, WBA, INTC, MRNA, CE, DLTR",10,loss,The Motley Fool,https://www.fool.com/investing/2025/01/06/investors-look-back-at-2024/?source=iedfolrf0000001,"The article discusses the best and worst performing S&P 500 companies in 2024, highlighting themes like the rise of AI and the return to assets like Bitcoin and gold. It also analyzes the challenges faced by companies like Walgreens, Intel, and the weight loss drug industry."
2025-01-06,2025-01-06T18:16:54Z,22,Mixed,3,6,0,1,Why AST SpaceMobile Stock Popped on Monday,"ASTS, T, TBB, TpA, TpC, VZ",6,"offering, sec, miss",The Motley Fool,https://www.fool.com/investing/2025/01/06/why-ast-spacemobile-stock-popped-on-monday/?source=iedfolrf0000001,"AST SpaceMobile has secured up to 45 MHz of premium lower mid-band spectrum in the United States from Ligado Networks for $666.4 million. This will enhance AST's planned space-based cellular broadband offering, allowing it to support peak data transmission speeds up to 120 Mbps for its telecom partners, including AT&T and Verizon."
2025-01-06,2025-01-06T19:43:06Z,21,Mixed,2,7,0,1,Here's Why Wells Fargo Stock Climbed on Monday,"WFC, WFCpA, WFCpC, WFCpD, WFCpL, WFCpY, WFCpZ",7,"fed, resignation",The Motley Fool,https://www.fool.com/investing/2025/01/06/heres-why-wells-fargo-stock-climbed-on-monday/?source=iedfolrf0000001,"The article discusses the resignation of the Federal Reserve's top banking regulator, Michael Barr, and the potential impact on the banking industry. It suggests that Trump's appointment of a more banking-friendly successor could create a more favorable environment for banks like Wells Fargo to grow and make money."
2025-01-06,2025-01-06T10:55:00Z,21,General,0,10,0,1,"Money Transfer Agencies Market Report 2024-2033: Cross-Border Digital Transactions Surge, Leading Money Transfer Agencies Develop Cutting-Edge Apps for Improved Transaction Experience","AMJB, JPM, JPMpC, JPMpD, JPMpJ, JPMpK, JPMpL, JPMpM, BAC, BACpB, BACpE, BACpK, BACpL, BACpM, BACpN, BACpO, BACpP, BACpQ, BACpS, BMLpG, BMLpH, BMLpJ, BMLpL, MERpK, C, CpN, WFC, WFCpA, WFCpC, WFCpD, WFCpL, WFCpY, WFCpZ, HDB, IBN, WU, RELY, PAYO",38,,GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/06/3004401/28124/en/Money-Transfer-Agencies-Market-Report-2024-2033-Cross-Border-Digital-Transactions-Surge-Leading-Money-Transfer-Agencies-Develop-Cutting-Edge-Apps-for-Improved-Transaction-Experienc.html,"The money transfer agencies market is expected to grow rapidly in the coming years, driven by the increasing prevalence of digital transactions, remittances from expatriates, and the development of innovative money transfer apps by leading companies."
2025-01-06,2025-01-06T09:38:00Z,21,General,0,10,0,1,"Reverse Factoring Market Report, 2018-2023, 2023-2028F, 2033F: Manufacturers Drive Growth with Innovative Financing to Enhance Supply Chain Stability","AMJB, JPM, JPMpC, JPMpD, JPMpJ, JPMpK, JPMpL, JPMpM, BAC, BACpB, BACpE, BACpK, BACpL, BACpM, BACpN, BACpO, BACpP, BACpQ, BACpS, BMLpG, BMLpH, BMLpJ, BMLpL, MERpK, SAN, HSBC, C, CpN, WFC, WFCpA, WFCpC, WFCpD, WFCpL, WFCpY, WFCpZ, ING, BCS, BBVA, DB, DGP, DGZ, DZZ, SMFG, MFG",44,,GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/06/3004383/28124/en/Reverse-Factoring-Market-Report-2018-2023-2023-2028F-2033F-Manufacturers-Drive-Growth-with-Innovative-Financing-to-Enhance-Supply-Chain-Stability.html,"The reverse factoring market is expected to grow significantly in the coming years, driven by the increasing adoption of this financing solution by manufacturers to optimize working capital and maintain supply chain stability. Key trends include the development of digital reverse factoring platforms and the integration of reverse factoring with supply chain finance."
2025-01-06,2025-01-06T18:39:00Z,20,Mixed,5,2,0,1,"TMC DEADLINE: ROSEN, GLOBAL INVESTOR COUNSEL, Encourages TMC the metals company Inc. Investors with Losses in Excess of $100K to Secure Counsel Before Important January 7 Deadline in Securities Class Action – TMC","TMC, TMCWW",2,"revenue, rate, lawsuit, sec, loss",GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/06/3004909/673/en/TMC-DEADLINE-ROSEN-GLOBAL-INVESTOR-COUNSEL-Encourages-TMC-the-metals-company-Inc-Investors-with-Losses-in-Excess-of-100K-to-Secure-Counsel-Before-Important-January-7-Deadline-in-Se.html,"The article discusses a securities class action lawsuit against TMC the metals company Inc. (TMC) for allegedly making false and/or misleading statements about its internal controls and financial reporting. The lawsuit claims that TMC inaccurately classified the sale of future revenue as deferred income rather than debt, which led to investor losses when the true details became known."
2025-01-06,2025-01-06T18:37:00Z,18,Corporate Event,3,4,0,1,"BRODSKY & SMITH SHAREHOLDER UPDATE: Notifying Investors of the Following Investigations: Predictive Oncology Inc. (Nasdaq - POAI), SunLink Health Systems, Inc. (NYSE American - SSY), Universal Stainless & Alloy Products, Inc. (Nasdaq - USAP), Patterson Companies, Inc. (Nasdaq - PDCO)","POAI, SSY, USAP, PDCO",4,"investigation, merger, acquisition",GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/06/3004908/0/en/BRODSKY-SMITH-SHAREHOLDER-UPDATE-Notifying-Investors-of-the-Following-Investigations-Predictive-Oncology-Inc-Nasdaq-POAI-SunLink-Health-Systems-Inc-NYSE-American-SSY-Universal-Stai.html,Brodsky & Smith is investigating several companies regarding potential breaches of fiduciary duties by their boards in relation to proposed mergers and acquisitions.
2025-01-06,2025-01-06T12:15:00Z,18,Earnings,3,4,0,1,Is Amazon Poised to Beat the Market in 2025?,"AMZN, GOOG, GOOGL, META",4,"revenue, profit, beat",The Motley Fool,https://www.fool.com/investing/2025/01/06/is-amazon-poised-to-beat-the-market-in-2025/?source=iedfolrf0000001,"The article discusses Amazon's performance in 2024 and its prospects for 2025. It highlights Amazon's strong growth in advertising and cloud computing services, which have boosted the company's revenue and profits. The article suggests that while Amazon's stock price may be expensive, the company's growth potential makes it a good investment for the long term."
2025-01-06,2025-01-06T10:06:00Z,18,Macro,1,7,0,1,5 Stocks Warren Buffett Is Betting Big On for 2025,"SIRI, OXY, OXY.WS, DPZ, CB, BRK.A, BRK.B",7,war,The Motley Fool,https://www.fool.com/investing/2025/01/06/5-stocks-warren-buffett-is-betting-big-on-for-2025/?source=iedfolrf0000001,"Warren Buffett is betting big on five stocks in 2025: Sirius XM, Occidental Petroleum, Domino's Pizza, Chubb, and Berkshire Hathaway. These companies have strong competitive advantages, steady cash flows, and attractive valuations that appeal to the value-oriented Buffett."
