date,published_at,composite_score,catalyst_type,api_relevance,relevance_norm,keyword_score,source_score,recency_score,title,description,snippet,categories,query_bucket,keywords_matched,source,url
2026-01-15,2026-01-15T05:43:50.000000Z,25.08,Earnings,40.896652,2.04,7,0,0,Wipro Q3 Preview: Revenue may rise 4% YoY; margins under pressure,"Wipro is expected to post muted Q3 performance, with revenue rising about 4% YoY and margins remaining under pressure due to furloughs, deal ramp-up costs and a...","It seems like you're already an ETPrime member with

Login using your ET Prime credentials to enjoy all member benefits

Log out of your current logged-in accou...","business, general",earnings,"acquisition, revenue, results, guidance, deal, earnings, sec",economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/wipro-q3-preview-revenue-may-rise-4-yoy-margins-under-pressure/articleshow/126539218.cms
2026-01-15,2026-01-15T15:27:13.000000Z,20.26,Macro,32.675907,1.63,5,0,2,Goolsbee says lowering inflation is US Fed's main job,"Chicago Fed President Austan Goolsbee emphasized the central bank's priority is reducing inflation, citing a stable job market as evidence. He indicated that in...","Live Events



as a Reliable and Trusted News Source Addas a Reliable and Trusted News Source Add Now!

(You can now subscribe to our

(You can now subscribe to...","business, general",macro,"interest rate, rate cut, inflation, fed, central bank",economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/us-stocks/news/goolsbee-says-lowering-inflation-is-us-feds-main-job/articleshow/126549036.cms
2026-01-15,2026-01-15T11:42:25.000000Z,19.72,Earnings,37.19983,1.86,5,0,1,"L&T Tech Q3 Results: Profit falls 6% YoY to Rs 303 crore, revenue rises 10%","LTTS reported a 6% YoY profit decline in Q3 despite 10% revenue growth, strong deal wins above $200 million for fifth straight quarter, stable margins, and mome...","Live Events



as a Reliable and Trusted News Source Addas a Reliable and Trusted News Source Add Now!

(You can now subscribe to our

(You can now subscribe to...","business, general",earnings,"profit, revenue, results, deal, earnings",economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/lt-tech-q3-results-profit-falls-6-yoy-to-rs-303-crore-revenue-rises-10/articleshow/126545447.cms
2026-01-15,2026-01-15T13:10:00.000000Z,19.42,Macro,34.220093,1.71,4,2,2,"Fed's Kashkari Says Inflation Still 'Too High' But Moving Right Way, Warns Of Another Tariff-Related 'Price Bump'","Neel Kashkari, President of the Federal Reserve Bank of Minneapolis, voiced optimism about the U.S. economy, forecasting sustained growth and easing inflation.","Neel Kashkari, President of the Federal Reserve Bank of Minneapolis, voiced optimism about the U.S. economy, forecasting sustained growth and easing inflation.
...",business,macro,"tariff, forecast, inflation, fed",benzinga.com,https://www.benzinga.com/markets/macro-economic-events/26/01/49932185/feds-kashkari-says-inflation-still-too-high-but-moving-right-way-warns-of-another-t
2026-01-15,2026-01-15T15:49:58.000000Z,15.68,Corporate Event,26.859142,1.34,3,2,2,"Amazon threatens ‘drastic action’ after Saks bankruptcy, says $475M stake is now worthless",Amazon invested $475 million into Saks's acquisition of Neiman Marcus. It wants a federal judge to reject Saks's bankruptcy plan because it harms creditors.,"Amazon wants a federal judge to reject Saks Global's bankruptcy financing plan, writing in court papers the beleaguered department store ""burned through hundred...","business, general",corporate,"acquisition, bankruptcy, fed",cnbc.com,https://www.cnbc.com/2026/01/15/amazon-says-saks-investment-is-worthless-after-bankruptcy.html
2026-01-15,2026-01-15T05:28:30.000000Z,15.46,Macro,34.697445,1.73,4,0,0,US economic activity shows broad-based stability ahead of Fed meeting,"US economic activity showed broad-based stability in recent weeks, with most Federal Reserve districts reporting modest growth and steady employment, according ...","Live Events

Signs of Consumer Strain and Job Confidence



Policy Effects and Tariff Pressures



Artificial Intelligence and Hiring Trends





as a Reliable ...","business, general",macro,"interest rate, inflation, outlook, fed",economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/us-stocks/news/us-economic-activity-shows-broad-based-stability-ahead-of-fed-meeting/articleshow/126538921.cms
2026-01-15,2026-01-15T12:00:01.000000Z,11.52,Corporate Event,25.146297,1.26,2,2,1,How Saks's acquisition of Neiman Marcus plunged the company into bankruptcy: 'Recipe for disaster',"Saks used $2.2 billion in junk bonds to buy Neiman Marcus, but didn't have enough money left over to pay vendors, which led the company to declare bankruptcy.","An entrance to the Saks Fifth Avenue flagship store in New York on Jan. 14, 2026, after the company filed for bankruptcy protection.

For more than a decade, th...","general, business",corporate,"acquisition, bankruptcy",cnbc.com,https://www.cnbc.com/2026/01/15/saks-acquisition-of-neiman-marcus-led-to-bankruptcy.html
2026-01-15,2026-01-15T15:40:30.000000Z,11.04,Energy/Commodity,30.37244,1.52,2,0,2,Crude oil price sinks 5% after Trump eases Iran concerns,Oil prices extended losses on Thursday after remarks by US President Donald Trump appeared to dial down threats of imminent military action on crude producer Ir...,"Live Events



as a Reliable and Trusted News Source Addas a Reliable and Trusted News Source Add Now!

(You can now subscribe to our

(You can now subscribe to...",business,energy_commodity,"inflation, loss",economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/commodities/news/crude-oil-price-sinks-5-after-trump-eases-iran-concerns/articleshow/126549233.cms
2026-01-15,2026-01-15T10:24:32.000000Z,10.84,Earnings,38.447723,1.92,2,0,1,"Sony India FY25 revenue up 2.4% at ₹7,851 crore, profit down 6% at ₹157 crore","Sony India's FY25 revenue rose 2.4% to ₹7,851 crore, while profit decreased 6% to ₹157 crore amid market challenges.","Consumer electronics maker Sony India's revenue from operations increased 2.44 per cent to ₹7,851.08 crore in FY25; however, its total profit for the financia...","business, general",earnings,"profit, revenue",thehindubusinessline.com,https://www.thehindubusinessline.com/companies/sony-india-fy25-revenue-up-24-at-7851-crore-profit-down-6-at-157-crore/article70512500.ece
2026-01-15,2026-01-15T13:05:18.000000Z,8.44,Technology,34.40983,1.72,1,0,2,Former CISA Director Jen Easterly Will Lead RSA Conference,The longtime cybersecurity professional says she’s taking the helm of the legacy security organization at “an inflection point” for tech and the world bey...,"Jen Easterly, a longtime public- and private-sector cybersecurity practitioner who led the US Cybersecurity and Infrastructure Security Agency for more than thr...",tech,tech,sec,app.buzzsumo.com,https://www.wired.com/story/former-cisa-director-jen-easterly-will-lead-rsa-conference/
2026-01-15,2026-01-15T17:57:00.000000Z,7.04,Energy/Commodity,30.37244,1.52,1,0,1,Crude Oil Price Will Likely Remain Soft: Will ExxonMobil Suffer?,"Soft WTI prices near $60 threaten XOM's upstream earnings, but its low leverage and premium assets could help weather a weaker oil market.","We use cookies to understand how you use our site and to improve your experience.

This includes personalizing content and advertising.

By pressing ""Accept All...",business,energy_commodity,earnings,zacks.com,https://www.zacks.com/stock/news/2818374/crude-oil-price-will-likely-remain-soft-will-exxonmobil-suffer?cid=CS-ZC-FT-analyst_blog|quick_take-2818374
2026-01-15,2026-01-15T23:00:57.000000Z,5.98,Technology,29.84296,1.49,1,0,0,Risky Bulletin: China bans Israeli and US cybersecurity products,"China bans Israeli and US cybersecurity products, Sean Plankey is re-nominated for CISA Director, RAM price hikes are likely to impact the [Read More]","Risky Business News Podcast

Risky Bulletin: China bans Israeli and US cybersecurity products

Presented by

Amberleigh Jack Producer and Editor Catalin Cimpanu...",tech,tech,sec,risky.biz,https://risky.biz/RBNEWS513/
2026-01-15,2026-01-15T05:45:14.000000Z,5.82,Technology,28.257483,1.41,1,0,0,TSMC fourth-quarter profit leaps to record driven by AI boom,"Benefiting ‌from surging demand for advanced chips used in artificial intelligence applications, Taiwan Semiconductor Manufacturing Co said net profit for Oct...","Synopsis

Benefiting ‌from surging demand for advanced chips used in artificial intelligence applications, Taiwan Semiconductor Manufacturing Co said net prof...","tech, business, general",tech,profit,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/technology/tsmc-fourth-quarter-profit-leaps-to-record-driven-by-ai-boom/articleshow/126539247.cms
2026-01-15,2026-01-15T07:11:40.000000Z,5.8,Corporate Event,27.938292,1.4,1,0,0,Cosegic Strengthens Financial Crime Expertise Through FINTRAIL Acquisition,Cosegic Strengthens Financial Crime Expertise Through FINTRAIL Acquisition,"Ben Cook, Group CEO of Cosegic Ben Cook, Group CEO of Cosegic Get the latest news

delivered to your inbox Sign up for The Manila Times newsletters By signing u...","business, general",corporate,acquisition,manilatimes.net,https://www.manilatimes.net/2026/01/15/tmt-newswire/globenewswire/cosegic-strengthens-financial-crime-expertise-through-fintrail-acquisition/2259374
2026-01-15,2026-01-15T04:50:00.000000Z,3.8,Energy/Commodity,38.08438,1.9,0,0,0,OPEC wants a rethink of label ‘fossil fuel’,Narrative shifting to “energy addition” from “energy transition”,"Last month, Haitham Al Ghais, OPEC Secretary General, on December 15, 2025, wrote “Does the ‘fossil fuel’ label require a rethink?”

“Precision is fun...","business, general",energy_commodity,,thehindubusinessline.com,https://www.thehindubusinessline.com/opinion/opec-wants-a-rethink-of-label-fossil-fuel/article70510457.ece
2026-01-16,2026-01-16T10:55:16.000000Z,19.92,Earnings,39.24834,1.96,5,0,1,Wipro beats third-quarter revenue view on communications segment strength,"Wipro's third-quarter revenue exceeds expectations, driven by growth in communications and banking segments, despite a decline in net profit.","Wipro reported better-than-expected ‍third-quarter revenue on Friday, driven by growth in a part of its Americas business, ‌which includes the communication...","business, general",earnings,"profit, beat, revenue, quarterly, results",thehindubusinessline.com,https://www.thehindubusinessline.com/info-tech/wipro-beats-third-quarter-revenue-view-on-communications-segment-strength/article70514361.ece
